MU_MAX,DEPLETION_RADIUS,HYPHA_RADIUS_UM,PSI_BRANCH,MIN_BRANCH_ANGLE_DEG,APICAL_BRANCH_MIN_STEP,LATERAL_DISTANCE_FROM_TIP,PHI_N,PHI_P,LATERAL_BRANCH_MIN_STEP,MAX_DEVIATION_DEG,nutrient_pm_fraction,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3
15.852554066660208,8.192312257685986,0.4791588083647973,1.3049272586036225,60.01735527438947,4,4.015860753495573,0.0550010415147571,0.1663349601869294,3,35.957170520496284,0.01,272.8,54.0,214.8,1477.9398700620218,1066.0205829479205
19.144942075591203,5.0772904856280165,2.0306514133033,1.892429124149896,31.10293075993974,5,2.626649612289747,0.0517960489287169,0.0869135355039621,13,104.22261968566502,0.03,10.2,6.4,0.0,176.27329726081206,2283.532286369937
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.07,14.0,10.0,0.0,99.27430714715976,611.2836906865181
18.955534139542983,9.60641801587447,0.2198937045613465,1.1327854111189628,36.06680267962855,1,5.927805898355712,0.0469943332383932,0.1135020347420976,10,47.57978783543415,0.09,29.8,26.0,0.0,399.2386015006567,60.64681392198488
3.952662851953804,7.654036414070075,2.1779470122744566,0.37244141117705,39.15862101940461,1,1.5368144002166235,0.1321024538200926,0.019587300004554,4,108.86360837640058,0.05,78.6,0.0,74.6,142.36794421010617,2121.566775597081
6.711988133822649,7.383155625209387,1.1631992754172846,0.1856926418953889,0.600379045702204,3,4.2243778180590645,0.180304867199785,0.0986756038667808,10,105.00264907665118,0.03,4.0,0.0,0.0,46.25277525324689,196.6056140954344
5.193073155870221,2.466311880882716,0.6938642301642217,1.6094600363762626,46.04523766191302,5,2.5526016694426588,0.0247383260195428,0.0302146024020103,1,100.08001766921042,0.01,396.0,193.0,199.0,820.5910180821108,1241.153883955793
14.132622572341978,8.737076003730976,2.753838279047088,1.170963716063266,87.99874031228681,1,7.169965196107516,0.2729636848363729,0.0985256434240589,7,65.54275213661107,0.01,118.2,114.2,0.0,760.1406188044625,18110.092879805536
10.059,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11.0,7.0,0.0,94.41253344807193,581.3472141150361
13.348761857218172,0.8027192859485188,2.268946447200959,1.0012511168220786,78.75841280676606,5,4.535023270939568,0.2290898399487003,0.043657801990455,8,122.2006205122751,0.03,3.8,0.0,0.0,9.330559029867969,150.90583356829868
9.58,4.75,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8.0,4.0,0.0,80.6350505451421,496.5120655323416
6.660876088918456,8.767393502101715,2.092645570467212,1.8383996849236093,11.67673475332338,1,9.198354145809278,0.2888896873484755,0.0318350236145039,4,91.29004198851231,0.09,299.8,269.6,26.4,858.1626239541041,11806.218736046898
4.81398502416761,4.906503148848205,2.297350669062662,0.4005798156437742,17.920494303386658,3,5.153028894247506,0.0429953065217214,0.2851754915037885,3,75.43697353678756,0.09,70.8,0.0,66.8,186.8110868043613,3097.469953045783
13.672945277148573,1.3741303396633098,0.3937896228047544,1.1766973032658272,27.51581366005278,3,1.327764655679608,0.0639355289255914,0.0424863391961274,6,98.24734028929772,0.05,75.6,40.0,31.6,457.6207129559984,222.9379897895529
18.286735022443608,4.995223797053189,1.05516234045355,0.3565011718637059,30.89038163532034,2,5.436769503255552,0.1489792213454739,0.2724090929973448,2,38.31768232042606,0.01,280.6,0.0,277.0,2173.4814022379846,7602.288841126419
9.404155136200508,0.3521006450066455,0.4295189649390931,1.0243853692097016,74.68810221573597,3,1.2947038621006584,0.0749982354437178,0.0178999144239664,10,123.12006061543195,0.07,4.0,0.0,0.0,0.0,0.0
18.16402572614336,6.462755356844484,1.201740721805528,1.5971669824593182,10.814712209738818,1,6.400230685929823,0.0230043259230377,0.027461470215938,7,70.27839140586336,0.03,65.2,61.2,0.0,746.6125803499675,3387.401938621452
